payment_id;price;code;payment_channel;name;surname;email;gsm_number;merchant_num;merchant_name;transaction_date;item_name
980;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 22:55:00;müthiş kalem
703;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 22:46:00;müthiş kalem
948;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 22:44:00;müthiş kalem
950;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 21:59:00;IYZICO TEST ILANI 1-TL
400;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 21:55:00;IYZICO TEST ILANI 1-TL
158;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 21:50:00;IYZICO TEST ILANI 1-TL
304;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 21:44:00;IYZICO TEST ILANI 1-TL
979;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 21:43:00;IYZICO TEST ILANI 1-TL
189;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 21:41:00;IYZICO TEST ILANI 1-TL
859;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 21:31:00;müthiş kalem
708;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 21:24:00;IYZICO TEST ILANI 1-TL
990;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 21:16:00;müthiş kalem
283;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 21:00:00;!!!! Nefis D682 G Pro Lite
231;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 20:57:00;müthiş kalem
479;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 20:45:00;!!!! Nefis D682 G Pro Lite
690;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 20:11:00;!!!! Nefis D682 G Pro Lite
359;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;16.10.2021 20:04:00;müthiş kalem
166;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 16:52:00;müthiş kalem
908;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 16:49:00;Kingston USB
961;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 16:43:00;müthiş HDMI Cable
718;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 15:56:00;Kingston USB
508;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 15:55:00;HDMI Cable
973;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 15:39:00;Kingston USB
738;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 15:37:00;HDMI Cable
821;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 15:34:00;Kingston USB
719;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 15:32:00;HDMI Cable
904;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 15:04:00;Kingston USB
317;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 15:04:00;HDMI Cable
20;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 15:02:00;Philips HR1388/50 Salata Ustası
188;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 14:58:00;Kingston USB
123;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 14:58:00;HDMI Cable
813;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 14:51:00;Philips HR1388/50 Salata Ustası
530;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 14:49:00;Kingston USB
448;1;TRY;WEB;John;Doe;email@email.com;9,05E+11;374093;ucakciniz.com;14.10.2021 14:48:00;HDMI Cable
